Codice Articolo,Lob Associata,Nome LOB,Inventario,Descrizione Articolo,Lob Associata Orig Norm,Lob Associata Cleaned,LOB Cleaning Decision
0251253-04,1002,CABLAGGIO ALTERNATIVO,Inventario,Cavo ottico CST 4 fibre Loose 50/125um OM3 antirodent PE,1002,1002,unchanged
0251254-08,1002,CABLAGGIO ALTERNATIVO,Inventario,Cavo ottico CST 8 fibre Loose 50/125um OM4 antirodent PE int/ext,1002,1002,unchanged
02610000,2006,APPARATI VARI,Inventario,"Spectrlaink 7212 Handset, includes battery.Order Charger",2006,2006,unchanged
02633-001,2013,VIDEOSORVEGLIANZA,Inventario,AXIS P3735-PLE,2013,2013,unchanged
02634-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS P3737-PLE,1015,1015,unchanged
02635-001,2013,VIDEOSORVEGLIANZA,Inventario,P3738-PLE,2013,2013,unchanged
0264 0000,4002,ALTRO MATERIALE,Inventario,Spectralink ,4002,4002,unchanged
0264 0000.,4002,ALTRO MATERIALE,Inventario,"Spectralink 7622 Handset, 1GB, includes battery. Order Charger and Powersupply separately",4002,4002,unchanged
02640000,2006,APPARATI VARI,Inventario,"Spectralink 7622 Handset, 1G8, includes battery",2006,2006,unchanged
02640-001,2013,VIDEOSORVEGLIANZA,Inventario,F2105-RE STANDARD SENSOR,2013,2013,unchanged
026423.87,2014,CONTROLLO ACCESSI,Inventario,ACCENTIC MIFARE READER + KEYPAD,2014,2014,unchanged
02650000,2006,APPARATI VARI,Inventario,Spectralink 7642 Handset,2006,2006,unchanged
02653-001,1015,VIDEOSORVEGLIANZA,Inventario,AXIS A1610 Network Door Controller,1015,1015,unchanged
